ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
Portuguese-5-420-1,,Portuguese,5-420,café da manhã; pequeno-almoço,café_da_manhã,k ɐ f ɛ + d ɐ + m ɐ ɲ ɐ̃,,,,false,^café_da_manhã$,Portuguese,,
Portuguese-5-420-2,,Portuguese,5-420,café da manhã; pequeno-almoço,pequeno-almoço,p ɨ k w ɨ n u a ɫ m ɔ s u,,,,false,^pequeno-almoço$,Portuguese,,
Portuguese-5-430-1,,Portuguese,5-430,almoço,almoço,a ɫ m ɔ s u,,,,false,^almoço$,Portuguese,,
Portuguese-5-440-1,,Portuguese,5-440,jantar,jantar,ʒ ɐ̃ t a ɾ,,,,false,^jantar$,Portuguese,,
Portuguese-5-450-1,,Portuguese,5-450,jantar; ceia,jantar,ʒ ɐ̃ t a ɾ,,,,false,^jantar$,Portuguese,,
Portuguese-5-450-2,,Portuguese,5-450,jantar; ceia,ceia,s ɐi ɐ,,,,false,^ceia$,Portuguese,,
Portuguese-5-460-1,,Portuguese,5-460,descascar,descascar,d ɨ ʃ k ɐ ʃ k a ɾ,,,,false,^descascar$,Portuguese,,
Portuguese-5-470-1,,Portuguese,5-470,peneira; coador; coar,peneira,p ɨ n ɐi ɾ ɐ,,,,false,^peneira$,Portuguese,,
Portuguese-5-470-2,,Portuguese,5-470,peneira; coador; coar,coador,k u ɐ d o ɾ,,,,false,^coador$,Portuguese,,
Portuguese-5-470-3,,Portuguese,5-470,peneira; coador; coar,coar,k u a ɾ,,,,false,^coar$,Portuguese,,
Portuguese-5-480-1,,Portuguese,5-480,raspar,raspar,ʁ ɐ ʃ p a ɾ,,,,false,^raspar$,Portuguese,,
Portuguese-5-490-1,,Portuguese,5-490,misturar; mexer,misturar,m i ʃ t u ɾ a ɾ,,,,false,^misturar$,Portuguese,,
Portuguese-5-490-2,,Portuguese,5-490,misturar; mexer,mexer,m ɨ ʃ e ɾ,,,,false,^mexer$,Portuguese,,
Portuguese-5-510-1,,Portuguese,5-510,pão,pão,p ɐ̃ũ,,,,false,^pão$,Portuguese,,
Portuguese-5-530-1,,Portuguese,5-530,massa,massa,m a s ɐ,,,,false,^massa$,Portuguese,,
Portuguese-5-540-1,,Portuguese,5-540,amassar,amassar,ɐ m ɐ s a ɾ,,,,false,^amassar$,Portuguese,,
Portuguese-5-550-1,,Portuguese,5-550,farinha,farinha,f ɐ ɾ i ɲ ɐ,,,,false,^farinha$,Portuguese,,
Portuguese-5-560-1,,Portuguese,5-560,esmagar; moer,esmagar,ʒ m ɐ ɡ a ɾ,,,,false,^esmagar$,Portuguese,,
Portuguese-5-560-2,,Portuguese,5-560,esmagar; moer,moer,m u e ɾ,,,,false,^moer$,Portuguese,,
Portuguese-5-570-1,,Portuguese,5-570,moinho,moinho,m oi ɲ u,,,,false,^moinho$,Portuguese,,
Portuguese-5-580-1,,Portuguese,5-580,morteiro,morteiro,m o ɾ t ɐi ɾ u,,,,false,^morteiro$,Portuguese,,
Portuguese-5-590-1,,Portuguese,5-590,mão de pilão; almofariz,mão_de_pilão,m ɐ̃ũ + d ɨ + p i l ɐ̃ũ,,,,false,^mão_de_pilão$,Portuguese,,
Portuguese-5-590-2,,Portuguese,5-590,mão de pilão; almofariz,almofariz,a ɫ m u f ɐ ɾ i ʃ,,,,false,^almofariz$,Portuguese,,
Portuguese-5-610-1,,Portuguese,5-610,carne,carne,k a ɾ n ɨ,,,,false,^carne$,Portuguese,,
Portuguese-5-630-1,,Portuguese,5-630,linguiça; chouriço,linguiça,l ĩ ɡ i s ɐ,,,,false,^linguiça$,Portuguese,,
Portuguese-5-630-2,,Portuguese,5-630,linguiça; chouriço,chouriço,ʃ o ɾ i s u,,,,false,^chouriço$,Portuguese,,
Portuguese-5-640-1,,Portuguese,5-640,sopa; caldo,sopa,s o p ɐ,,,,false,^sopa$,Portuguese,,
Portuguese-5-640-2,,Portuguese,5-640,sopa; caldo,caldo,k a ɫ d u,,,,false,^caldo$,Portuguese,,
Portuguese-5-650-1,,Portuguese,5-650,legumes; verduras,legumes,l ɨ ɡ u m ɨ ʃ,,,,false,^legumes$,Portuguese,,
Portuguese-5-650-2,,Portuguese,5-650,legumes; verduras,verduras,v ɨ ɾ d u ɾ ɐ ʃ,,,,false,^verduras$,Portuguese,,
Portuguese-5-660-1,,Portuguese,5-660,feijão,feijão,f ɐi ʒ ɐ̃ũ,,,,false,^feijão$,Portuguese,,
Portuguese-5-700-1,,Portuguese,5-700,batata,batata,b ɐ t a t ɐ,,,,false,^batata$,Portuguese,,
Portuguese-5-710-1,,Portuguese,5-710,fruta,fruta,f ɾ u t ɐ,,,,false,^fruta$,Portuguese,,
Portuguese-5-712-1,,Portuguese,5-712,ramo; cacho,ramo,ʁ ɐ m u,,,,false,^ramo$,Portuguese,,
Portuguese-5-712-2,,Portuguese,5-712,ramo; cacho,cacho,k a ʃ u,,,,false,^cacho$,Portuguese,,
Portuguese-5-750-1,,Portuguese,5-750,figo,figo,f i ɡ u,,,,false,^figo$,Portuguese,,
Portuguese-5-760-1,,Portuguese,5-760,uva,uva,u v ɐ,,,,false,^uva$,Portuguese,,
Portuguese-5-770-1,,Portuguese,5-770,noz,noz,n ɔ ʃ,,,,false,^noz$,Portuguese,,
Portuguese-5-780-1,,Portuguese,5-780,azeitona,azeitona,ɐ z ɐi t o n ɐ,,,,false,^azeitona$,Portuguese,,
Portuguese-5-790-1,,Portuguese,5-790,azeite; óleo,azeite,ɐ z ɐi t ɨ,,,,false,^azeite$,Portuguese,,
Portuguese-5-790-2,,Portuguese,5-790,azeite; óleo,óleo,ɔ l i u,,,,false,^óleo$,Portuguese,,
Portuguese-5-791-1,,Portuguese,5-791,gordura,gordura,ɡ u ɾ d u ɾ ɐ,,,,false,^gordura$,Portuguese,,
Portuguese-5-810-1,,Portuguese,5-810,sal,sal,s a ɫ,,,,false,^sal$,Portuguese,,
Portuguese-5-820-1,,Portuguese,5-820,pimenta,pimenta,p i m ẽ t ɐ,,,,false,^pimenta$,Portuguese,,
Portuguese-5-821-1,,Portuguese,5-821,malagueta,malagueta,m ɐ l ɐ ɡ w ɛ t ɐ,,,,false,^malagueta$,Portuguese,,
Portuguese-5-840-1,,Portuguese,5-840,mel,mel,m ɛ ɫ,,,,false,^mel$,Portuguese,,
Portuguese-5-850-1,,Portuguese,5-850,açúcar,açúcar,ɐ s u k ɐ ɾ,,,,false,^açúcar$,Portuguese,,
Portuguese-5-860-1,,Portuguese,5-860,leite,leite,l ɐi t ɨ,,,,false,^leite$,Portuguese,,
Portuguese-5-870-1,,Portuguese,5-870,ordenhar,ordenhar,o ɾ d ɨ ɲ a ɾ,,,,false,^ordenhar$,Portuguese,,
Portuguese-5-880-1,,Portuguese,5-880,queijo,queijo,k w ɐi ʒ u,,,,false,^queijo$,Portuguese,,
Portuguese-5-890-1,,Portuguese,5-890,manteiga,manteiga,m ɐ̃ t ɐi ɡ ɐ,,,,false,^manteiga$,Portuguese,,
Portuguese-5-900-1,,Portuguese,5-900,bebida,bebida,b ɨ b i d ɐ,,,,false,^bebida$,Portuguese,,
Portuguese-5-910-1,,Portuguese,5-910,mulso; hidromel,mulso,m u ɫ s u,,,,false,^mulso$,Portuguese,,
Portuguese-5-910-2,,Portuguese,5-910,mulso; hidromel,hidromel,i d ɾ u m ɛ ɫ,,,,false,^hidromel$,Portuguese,,
Portuguese-5-920-1,,Portuguese,5-920,vinho,vinho,v i ɲ u,,,,false,^vinho$,Portuguese,,
Portuguese-5-930-1,,Portuguese,5-930,cerveja,cerveja,s ɨ ɾ v ɐ ʒ ɐ,,,,false,^cerveja$,Portuguese,,
Portuguese-5-940-1,,Portuguese,5-940,bebida fermentada,bebida_fermentada,b ɨ b i d ɐ + f ɨ ɾ m ẽ t a d ɐ,,,,false,^bebida_fermentada$,Portuguese,,
Portuguese-5-970-1,,Portuguese,5-970,ovo,ovo,ɔ v u,,,,false,^ovo$,Portuguese,,
Portuguese-5-971-1,,Portuguese,5-971,gema,gema,ʒ ɛ m ɐ,,,,false,^gema$,Portuguese,,
Portuguese-6-110-1,,Portuguese,6-110,vestir,vestir,v ɨ ʃ t i ɾ,,,,false,^vestir$,Portuguese,,
Portuguese-6-120-1,,Portuguese,6-120,roupa,roupa,ʁ o p ɐ,,,,false,^roupa$,Portuguese,,
Portuguese-6-130-1,,Portuguese,6-130,alfaiate,alfaiate,a ɫ f ɐi a t ɨ,,,,false,^alfaiate$,Portuguese,,
Portuguese-6-210-1,,Portuguese,6-210,tecido; pano,tecido,t ɨ s i d u,,,,false,^tecido$,Portuguese,,
Portuguese-6-210-2,,Portuguese,6-210,tecido; pano,pano,p ɐ n u,,,,false,^pano$,Portuguese,,
Portuguese-6-220-1,,Portuguese,6-220,lã,lã,l ɐ̃,,,,false,^lã$,Portuguese,,
Portuguese-6-230-1,,Portuguese,6-230,linho,linho,l i ɲ u,,,,false,^linho$,Portuguese,,
Portuguese-6-240-1,,Portuguese,6-240,algodão,algodão,a ɫ ɡ u d ɐ̃ũ,,,,false,^algodão$,Portuguese,,
Portuguese-6-250-1,,Portuguese,6-250,seda,seda,s ɛ d ɐ,,,,false,^seda$,Portuguese,,
