Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
xh	xh	hexha, hexha-naxi	264	2	U+0078 U+0068
^p$	p	p-	264, 283	2	U+005e U+0070 U+0024
čw	čw	počwa-ľɨ, počwaksɨrɨ	264	2	U+010d U+0077
^ps	ps	psoxi, psaľo	264	2	U+005e U+0070 U+0073
^pw	pw	pwaľo, pwehi	264, 274	2	U+005e U+0070 U+0077
^tw	tw	twa	264, 271	2	U+005e U+0074 U+0077
œ̃$	œ̃	'tari-s mœ̃, yœh-mœ̃	271	2	U+0153 U+0303 U+0024
'ñ	ɲ	we'ñei, tami'ñi	271	2	U+0027 U+00f1
xw	xw	'boxwi	271	2	U+0078 U+0077
^'fw	'fw	'fwihyi, 'fwebeš	271	2	U+005e U+0027 U+0066 U+0077
pw	pw	šapwi'si, šapwitki	271	2	U+0070 U+0077
'kw	kʷ	o-'kwana-ya, iš'kwera	271, 275	2	U+0027 U+006b U+0077
^oo$	oː	oo	283, 273	2	U+005e U+006f U+006f U+0024
^oo	oː	oo iki, oo-ya	275, 282	2	U+005e U+006f U+006f
'ɨ̃$	ɨ̃	ni'ɨ̃, kʷɨ'ɨ̃-	277	2	U+0027 U+0268 U+0303 U+0024
'õ	õ	no'õsi, no'õβai	277	2	U+0027 U+00f5
^aa$	aː	aa-, aa	277, 279	2	U+005e U+0061 U+0061 U+0024
'ĩ	ĩ	ma'ĩ-ti, o'ĩ-ti	277	2	U+0027 U+0129
'ɨ̃	ɨ̃	pɨ'ɨ̃ka-ti, pa'ɨ̃-ti	277	2	U+0027 U+0268 U+0303
'õ$	õ	βɨ'õ, kʷɨ'õ	277	2	U+0027 U+00f5 U+0024
'ã	ã	ari-'ãkãhẽ, no'ã-ti	283, 277	2	U+0027 U+00e3
^ř	ř	řɨ'kina, řeṣ̌'pana	280	2	U+005e U+0159
ãã	ãː	'rããre, 'nããβã	283	2	U+00e3 U+00e3
β$	β	-uaβ, ɲaβ-	283	2	U+03b2 U+0024
ææ$	æː	tææ	283	2	U+00e6 U+00e6 U+0024
ɔ̃$	ɔ̃	bɔ̃kɔ̃, 'rãβɔ̃kɔ̃	283	2	U+0254 U+0303 U+0024
^u$	u	u	283	2	U+005e U+0075 U+0024
mm	mm	hem-me, ɗim-mo-kʷa	285	2	U+006d U+006d
ö	ö	yök, kök	286	2	U+00f6
dh	dh	adhesivo	176	1	U+0064 U+0068
j$	j	reloj	176	1	U+006a U+0024
^y$	y	y	176	1	U+005e U+0079 U+0024
ô$	ô	avô	178	1	U+00f4 U+0024
^â	â	âncora	178	1	U+005e U+00e2
ês	ês	três vezes	178	1	U+00ea U+0073
^às	às	às vezes	178	1	U+005e U+00e0 U+0073
'á	á	hɨga 'áišmagku 'ihun-tai	258	1	U+0027 U+00e1
'u$	u	ya'u	258	1	U+0027 U+0075 U+0024
'ú	ú	i'huntuha 'čiča-m 'úmihut	258	1	U+0027 U+00fa
^mh	mh	mhanɨrɨto	264	1	U+005e U+006d U+0068
^wh	wh	whene	264	1	U+005e U+0077 U+0068
^sw	sw	swɨtɨ	264	1	U+005e U+0073 U+0077
^nn	nn	nnɨ	264	1	U+005e U+006e U+006e
^th	tʰ	thana	264	1	U+005e U+0074 U+0068
^nh	nh	nhi-či	264	1	U+005e U+006e U+0068
ľs	<?>	poproľsahi	264	1	U+013e U+0073
tˀs	tsˀ	pʰatˀsu-ɲa	269	1	U+0074 U+02c0 U+0073
ɲs	ɲs	uɲstaya-ɲa	269	1	U+0272 U+0073
ḳʰs	ḳʰs	ḳawḳʰsa	269	1	U+1e33 U+02b0 U+0073
ḳw	ḳw	yarḳwiku	269	1	U+1e33 U+0077
'ẽ$	ẽ	yo'ẽ	271	1	U+0027 U+1ebd U+0024
^'bw	'bw	'bweye	271	1	U+005e U+0027 U+0062 U+0077
^'g	g	'ganso	271	1	U+005e U+0027 U+0067
b$	b	'c̷ib	271	1	U+0062 U+0024
'ph	pʰ	ã-t-'pheinsi	271	1	U+0027 U+0070 U+0068
kw$	kʷ	'okw	271	1	U+006b U+0077 U+0024
^'e	e	'ehe-ʔe'hei	271	1	U+005e U+0027 U+0065
^'ĩ	ĩ	'ĩhc̷i	271	1	U+005e U+0027 U+0129
mʸ	mʲ	pimʸenta	271	1	U+006d U+02b8
fh	fh	kofhi'ti	271	1	U+0066 U+0068
c̷h	c̷h	'tœc̷he	271	1	U+0063 U+0337 U+0068
ɲw	ɲw	iɲwãʔ'čai	271	1	U+0272 U+0077
fw	fw	'kefwa'baʔ	271	1	U+0066 U+0077
^'kh	kʰ	'khœrheʔ	271	1	U+005e U+0027 U+006b U+0068
'ỹ	ỹ	'tčei'ỹaʔ	271	1	U+0027 U+1ef9
w̃	w̃	'iw̃a	271	1	U+0077 U+0303
šs	šs	pašsi	271	1	U+0161 U+0073
'ɓ	ɓ	sapa'ɓo	274	1	U+0027 U+0253
ooo$	oːo	tooo	274	1	U+006f U+006f U+006f U+0024
'e$	e	iyape'e-	274	1	U+0027 U+0065 U+0024
^Es	<?>	Eseexa	274	1	U+005e U+0045 U+0073
'ẽ	ẽ	kʷe'ẽkoro	277	1	U+0027 U+1ebd
_̃	_̃	ʔo's ̃a-	277	1	U+005f U+0303
č̣s	č̣s	kɨ̃ṣ̌a-pič̣sa	278	1	U+010d U+0323 U+0073
^ĩ$	ĩ	ĩ-	281	1	U+005e U+0129 U+0024
iii	iːi	siiiti	281	1	U+0069 U+0069 U+0069
^õ$	õ	-õ	281	1	U+005e U+00f5 U+0024
^n$	n	-n	281	1	U+005e U+006e U+0024
^ɨɨ$	ɨː	ɨɨ	282	1	U+005e U+0268 U+0268 U+0024
'_	'_	βĩškomĩc̷akĩ' yoaši-ki	282	1	U+0027 U+005f
^r$	r	r-	283	1	U+005e U+0072 U+0024
^t$	t	t-	283	1	U+005e U+0074 U+0024
^m$	m	m-	283	1	U+005e U+006d U+0024
^'ǰ	'ǰ	'ǰuǰu	283	1	U+005e U+0027 U+01f0
ɨ̃ɨ̃	ɨ̃	a'tɨ̃ɨ̃tã aβa'rakame	283	1	U+0268 U+0303 U+0268 U+0303
ɔɔ	ɔː	'rɔɔre	283	1	U+0254 U+0254
'l	l	ča'leeko	283	1	U+0027 U+006c
^ɔ$	ɔ	ɔ	283	1	U+005e U+0254 U+0024
õõ$	õ	põõ	283	1	U+00f5 U+00f5 U+0024
__	__	rɨ̃hẽ ... uaβ-a	283	1	U+005f U+005f
'æ̃	æ̃	či'æ̃ræ̃hæ̃	283	1	U+0027 U+00e6 U+0303
sw	sw	u-ruswa	284	1	U+0073 U+0077
ɨˀ	ɨˀ	niyawɨˀna	284	1	U+0268 U+02c0
ï	ï	kokˀïyuhna	284	1	U+00ef
b̃	b̃	tb̃um	286	1	U+0062 U+0303
