Grapheme	IPA	Note
^de_imediato$	dʒ i + i m e dʒ i a t u
^de_novo$	dʒ i + n ɔ v u
^debaixo$	d e b ai ʃ u
^debulhar$	d e b u ʎ a ʁ
^dedo$	d ɛ d u
^dedo_do_pé$	d ɛ d u + d u + p ɛ
^defecar$	d e f e k a ʁ
^defender$	d e f ẽ d e ʁ
^deitar-se$	d ei t a ʁ s i
^deixar$	d ei ʃ a ʁ
^deixar_cair$	d ei ʃ a ʁ + k a i ʁ
^delfim$	d ɛu f ĩ
^delgado$	d ɛu g a d u
^demorar$	d e m o ɾ a ʁ
^demônio$	d e m o n j u
^dente$	d ẽ tʃ i
^dentro$	d ẽ t ɾ u
^depois$	d e p oi ʃ
^depois_de_amanhã$	d e p oi ʒ + dʒ i + ɐ m ɐ ɲ ɐ̃
^derrota$	d e ʁ ɔ t ɐ
^derrubar$	d e ʁ u b a ʁ
^desaparecer$	d e z a p a ɾ e s e ʁ
^desatar$	d e z a t a ʁ
^descansar$	d e ʃ k ɐ̃ s a ʁ
^descascar$	d e ʃ k a ʃ k a ʁ
^descendentes$	d e ʃ s ẽ d ẽ t e ʃ
^descer$	d e ʃ s e ʁ
^desejo$	d e z e ʒ u
^desembarcar$	d e z ẽ b a ʁ k a ʁ
^despejar$	d e ʃ p e ʒ a ʁ
^despido$	d e ʃ p i d u
^destruir$	d e ʃ t ɾ ui ʁ
^devagar$	d e v a g a ʁ
^dever$	d e v e ʁ
^devolver$	d e v ɔu v e ʁ
^dez$	d ɛ ʃ
^dia$	dʒ i ɐ
^difícil$	dʒ i f i s iu
^dinheiro$	dʒ i ɲ ei ɾ u
^direita$	dʒ i ɾ ei t ɐ
^direito$	dʒ i ɾ ei t u
^dirigir$	dʒ i ɾ i ʒ i ʁ
^discursar$	dʒ i ʃ k u ʁ s a ʁ
^disparar$	dʒ i ʃ p a ɾ a ʁ
^disputa$	dʒ i ʃ p u t ɐ
^distribuir$	dʒ i ʃ t ɾ i b ui ʁ
^dividir$	dʒ i v i dʒ i ʁ
^divórcio$	dʒ i v ɔ ʁ s j u
^dizer$	dʒ i z e ʁ
^dobrar$	d o b ɾ a ʁ
^doce$	d ɔ s i
^doente$	d o ẽ tʃ i
^doença$	d o ẽ s ɐ
^dois$	d oi ʃ
^domingo$	d o m ĩ g u
^dono$	d ɔ n u
^dor$	d o ʁ
^dormir$	d o ʁ m i ʁ
^doze$	d o z i
^duas$	d u a ʃ
^duas_vezes$	d u a ʃ + v ɛ z e ʃ
^durar$	d u ɾ a ʁ
^duro$	d u ɾ u
^duvidar$	d u v i d a ʁ
^débil$	d ɛ b iu
^dívida$	dʒ i v i d ɐ
^e$	i
^eira$	ei ɾ ɐ
^eixo$	ei ʃ u
^ela$	ɛ l ɐ
^elas$	ɛ l a ʃ
^ele$	e l i
^elefante$	i l e f ɐ̃ tʃ i
^eles$	ɛ l e ʃ
^elevado$	i l e v a d u
^elmo$	ɛu m u
^elogiar$	i l o ʒ i a ʁ
^em_breve$	ẽĩ + b ɾ ɛ v i
^em_cima$	ẽĩ + s i m ɐ
^emboscada$	ẽ b o ʃ k a d ɐ
^embotado$	ẽ b o t a d u
