Grapheme	IPA	Note
^redondo$	r e ð o n d o
^círculo$	s i ɾ k u l o
^pelota$	p e l o t a
^esfera$	ɛ s f ɛ ɾ a
^globo$	ɡ l o β o
^línea$	l i n e a
^agujero$	a ɣ u x ɛ ɾ o
^semejante$	s e m e x a n t e
^parecido$	p a ɾ e s i ð o
^cambiar$	k a m b j a ɾ
^mudar$	m u ð a ɾ
^cero$	s ɛ ɾ o
^nada$	n a ð a
^uno$	u n o
^diez$	d j e s
^once$	o n s e
^doce$	d o s e
^quince$	k i n s e
^veinte$	b e i n t e
^ciento$	s j e n t o
^cien$	s j e n
^mil$	m i l
^contar$	k o n t a ɾ
^cada$	k a ð a
^todo$	t o ð o
^mucho$	m u tʃ o
^más$	m a s
^poco$	p o k o
^bastante$	b a s t a n t e
^suficiente$	s u f i s j e n t e
^un_poco$	u m + p o k o
^algo$	a l ɣ o
^alguno$	a l ɣ u n o
^multitud$	m u l t i t u ð
^dos$	d o s
^lleno$	ɟ ʝ e n o
^vacío$	b a s i o
^pedazo$	p e ð a s o
^parte$	p a ɾ t e
^mitad$	m i t a ð
^tres$	t ɾ e s
^solo$	s o l o
^solamente$	s o l a m e n t e
^primero$	p ɾ i m ɛ ɾ o
^último$	u l t i m o
^segundo$	s e ɣ u n d o
^par$	p a ɾ
^dos_veces$	d o s + β e s e s
^cuatro$	k w a t ɾ o
^tercero$	t ɛ ɾ s ɛ ɾ o
^tres_veces$	t ɾ e s + β e s e s
^cinco$	s i n k o
^seis$	s e i s
^siete$	s j ɛ t e
^ocho$	o tʃ o
^nueve$	n w e β e
^tiempo$	t j e m p o
^edad$	e ð a ð
^nuevo$	n w e β o
^tierno$	t j ɛ ɾ n o
^joven$	x o β e n
^viejo$	b j e x o
^temprano$	t e m p ɾ a n o
^tarde$	t a ɾ ð e
^ahora$	a o ɾ a
^en_seguida$	e n + s e ɣ i ð a
^inmediatamente$	i m m e ð j a t a m e n t e
^rápido$	r a p i ð o
^despacio$	d ɛ s p a s j o
^lentamente$	l e n t a m e n t e
^apurarse$	a p u ɾ a ɾ s e
^darse_prisa$	d a ɾ s e + p ɾ i s a
^demorar$	d e m o ɾ a ɾ
^retrasar$	r ɛ t ɾ a s a ɾ
^tardar$	t a ɾ ð a ɾ
^empezar$	e m p e s a ɾ
^comenzar$	k o m e n s a ɾ
^inicio$	i n i s j o
^durar$	d u ɾ a ɾ
^fin$	f i n
^acabar$	a k a β a ɾ
^terminar$	t ɛ ɾ m i n a ɾ
^finalizar$	f i n a l i s a ɾ
^terminar$	t ɛ ɾ m i n a ɾ
^detenerse$	d ɛ t e n ɛ ɾ s e
^cesar$	s e s a ɾ
^listo$	l i s t o
^preparado$	p ɾ e p a ɾ a ð o
^siempre$	s j e m p ɾ e
^a_menudo$	a + m e n u ð o
^frecuentemente$	f ɾ e k w e n t e m e n t e
^a_veces$	a + β e s e s
^pronto$	p ɾ o n t o
^por_mucho_tiempo$	p o ɾ + m u tʃ o + t j e m p o
^nunca$	n u n k a
^jamás$	x a m a s
^otra_vez$	o t ɾ a + β e s
^de_nuevo$	d e + n w e β o
^día$	d i a
^noche$	n o tʃ e
^madrugada$	m a ð ɾ u ɣ a ð a
^amanecer$	a m a n e s ɛ ɾ
^maɲana$	m a ɲ a n a
^mediodía$	m e ð j o ð i a
^tarde$	t a ɾ ð e
^vísperas$	b i s p ɛ ɾ a s
^noche$	n o tʃ e
^hoy$	o i
^maɲana$	m a ɲ a n a
^pasado_maɲana$	p a s a ð o + m a ɲ a n a
^ayer$	a ʝ ɛ ɾ
^anteayer$	a n t e a ʝ ɛ ɾ
^hora$	o ɾ a
^reloj$	r e l o x
^semana$	s e m a n a
^domingo$	d o m i n ɡ o
^lunes$	l u n e s
^martes$	m a ɾ t e s
^miércoles$	m j ɛ ɾ k o l e s
^jueves$	x w e β e s
^viernes$	b j ɛ ɾ n e s
^sábado$	s a β a ð o
^mes$	m e s
^aɲo$	a ɲ o
^invierno$	i m b j ɛ ɾ n o
^primavera$	p ɾ i m a β ɛ ɾ a
^verano$	b ɛ ɾ a n o
^otoɲo$	o t o ɲ o
^estación$	ɛ s t a s j o n
^oler$	o l ɛ ɾ
^olfatear$	o l f a t e a ɾ
^husmear$	u s m e a ɾ
^oler$	o l ɛ ɾ
^olfatear$	o l f a t e a ɾ
^fragante$	f ɾ a ɣ a n t e
^bien_oliente$	b j ɛ n + o l j e n t e
^hediondo$	e ð j o n d o
^gustar$	ɡ u s t a ɾ
^saborear$	s a β o ɾ e a ɾ
^dulce$	d u l s e
^salado$	s a l a ð o
^amargo$	a m a ɾ ɣ o
^ácido$	a s i ð o
^agrio$	a ɣ ɾ j o
^salobre$	s a l o β ɾ e
^oír$	o i ɾ
^escuchar$	ɛ s k u tʃ a ɾ
^sonido$	s o n i ð o
^ruido$	r w i ð o
^alta$	a l t a
^ruidoso$	r w i ð o s o
^silencio$	s i l e n s j o
^tranquilo$	t ɾ a n k i l o
^ver$	b ɛ ɾ
^mirar$	m i ɾ a ɾ
