hombro	ˈombro
escápula	
omóplato	
clavícula	
brazo	ˈbraθo
sobaco	soˈβako
axila	aˠˈsila
codo	ˈkoðo
muɲeca	
mano	ˈmano
palma de la mano	
dedo	ˈdeðo
pulgar	pulˈɣar
uɲa	
garra	ˈgarra
pierna	ˈpjerna
pata	ˈpata
muslo	ˈmuslo
pantorrilla	pan̩toˈrriʎa
rodilla	rroˈðiʎa
pie	pje
tobillo	toˈβiʎo
talón	
huella	ˈweʎa
dedo del pie	
ala	ˈala
pluma	ˈpluma
pecho	ˈpeʧo
seno	ˈseno
pezón	
teta	ˈteta
ubre	uˈβre
ombligo	omˈbliɣo
corazón	
pulmón	
hígado	
riɲón	
bazo	ˈbaθo
estómago	
barriga	baˈrriɣa
intestinos	
tripas	
cintura	θin̩ˈtura
cadera	kaˈðera
nalgas	
trasero	traˈsero
matriz	maˈtriθ
vientre	ˈbjen̩tre
testículo	
pene	ˈpene
respirar	rrespiˈrar
aliento	aˈljen̩to
bostezar	bosteˈθar
tener hipo	
toser	toˈser
estornudar	estornuˈðar
sudar	suˈðar
escupir	eskuˈpir
saliva	saˈliβa
a	a
vomitar	bomiˈtar
morder	morˈðer
lamer	laˈmer
gotear	goteˈar
babear	baβeˈar
dormir	dorˈmir
roncar	rroŋˈkar
soɲar	
despertarse	
ventosear	ben̩toseˈar
flato	ˈflato
orinar	oriˈnar
mear	meˈar
defecar	defeˈkar
excremento	eskreˈmen̩to
tener relaciones sexuales	
temblar	temˈblar
baɲar	
engendrar	eŋxen̩ˈdrar
procrear	prokreˈar
nacer	naˈθer
embarazada	embaraˈθaða
preɲada	
concebir	koṇθeˈβir
vivir	biˈβir
vivo	ˈbiβo
vida	ˈbiða
morir	moˈrir
muerto	ˈmwerto, -a
ahogado	aoˈɣaðo, -a
matar	maˈtar
cadáver	
enterrar	en̩teˈrrar
sepultar	sepul̩ˈtar
sepulcro	seˈpulkro
tumba	ˈtumba
fuerte	ˈfwerte
poderoso	poðeˈroso, -a
débil	
sano	ˈsano, -a
salud	
enfermo	eɱˈfermo, -a
enfermedad	
fiebre	ˈfjeβre
bocio	ˈboθjo
coto	ˈkoto
catarro	kaˈtarro
resfriado	rresfriˈaðo
herida	eˈriða
llaga	ˈʎaɣa
cardenal	karðeˈnal
magulladura	maɣuʎaˈmjen̩to
contusión	
hinchazón	
comezón	
ampolla	amˈpoʎa
furúnculo	
forúnculo	
pus	pus
cicatriz	θikaˈtriθ
sanar	saˈnar
curar	kuˈrar
doctor	dokˈtor(a)
médico	
medicina	meðiˈθina
remedio	rreˈmeðjo
veneno	beˈneno
cansado	kanˈsaðo, -a
descansar	deskanˈsar
perezoso	pereˈθoso
flojo	ˈfloxo, -a
calvo	ˈkalβo, -a
pelado	peˈlaðo
lisiado	liˈsjaðo, -a
sordo	ˈsorðo, -a
mudo	ˈmuðo, -a
ciego	ˈθjeɣo, -a
ebrio	ˈeβrjo, -a
embriagado	embrjaˈɣaðo, -a
desnudo	desˈnuðo
comer	koˈmer
comida	koˈmiða
alimento	aliˈmen̩to
cocido	koˈθiðo
cocinado	
crudo	ˈkruðo
maduro	maˈðuro, -a
inmaduro	i<span class="super">n</span>maˈðuro, -a/i<span class="super">m</span>maˈðuro, -a
no maduro	
verde	ˈberðe
podrido	poˈðriðo, -a
beber	beˈβer
hambre	ˈambre
hambre	ˈambre
sed	
chupar	ʧuˈpar
masticar	mastiˈkar
mascar	masˈkar
tragar	traˈɣar
sofocar	sofoˈkar
cocinar	koθiˈnar
hervir	erˈβir
asar	aˈsar
freír	
hornear	orneˈar
horno	ˈorno
olla	ˈoʎa
caldera	kal̩ˈdera
cacerola	kaθeˈrola
cazuela	kaˈθwela
plato	ˈplato
fuente	ˈfwen̩te
plato	ˈplato
tazón	
cántaro	
jarro	ˈxarro
taza	ˈtaθa
copa	ˈkopa
platillo	plaˈtiʎo
cuchara	kuˈʧara
cuchillo	kuˈʧiʎo
tenedor	teneˈðor
tenazas	teˈnaθa
comida	koˈmiða
desayuno	desaˈɟuno
almuerzo	alˈmwerθo
comida	koˈmiða
cena	ˈθena
pelar	peˈlar
cribar	kriˈβar
colar	koˈlar
cerner	θerˈner
raspar	rrasˈpar
rallar	rraˈʎar
mezclar	meθˈklar
mixturar	
pan	pan
masa	ˈmasa
amasar	amaˈsar
harina	aˈrina
aplastar	aplasˈtar
moler	moˈler
molino	moˈlino
mortero	morˈtero
mano de mortero	
salchicha	salˈʧiʧa
sopa	ˈsopa
legumbres	
frijol	ˈfrixol
poroto	poˈroto
papa	ˈpapa
fruta	ˈfruta
racimo	rraˈθimo
higo	ˈiɣo
uva	ˈuβa
nuez	nweθ
aceituna	aθei̯ˈtuna
oliva	oˈliβa
aceite	aˈθei̯te
grasa	ˈgrasa
sal	sal
pimienta	piˈmjen̩ta
ají	
miel	mjel
azúcar	
leche	ˈleʧe
ordeɲar	
queso	ˈkeso
mantequilla	man̩teˈkiʎa
manteca	man̩ˈteka
bebida	beˈβiða
a	a
aguamiel	aɣwaˈmjel
vino	ˈbino
cerveza	θerˈβeθa
bebida fermentada	
huevo	ˈweβo
yema	ˈɟema
vestirse	
ropa	ˈrropa
sastre	ˈsastre, -a
tela	ˈtela
lana	ˈlana
lino	ˈlino
algodón	
seda	ˈseða
fieltro	ˈfjel̩tro
cuero	ˈkwero
hilar	iˈlar
huso	ˈuso
tejer	teˈxer
telar	teˈlar
coser	koˈser
aguja	aˈɣuxa
punzón	
hilo	ˈilo
teɲir	
capa	ˈkapa
manta	ˈman̩ta
poncho	ˈponʧo
ruana	ˈrrwana
vestido	besˈtiðo
abrigo	aˈβriɣo
saco	ˈsako
camisa	kaˈmisa
falda	ˈfal̩da
falda de hierbas	
pantalones	
calzones	kaḷˈθones
media	ˈmeðja
calcetín	
zapato	θaˈpato
bota	ˈbota
zapatero	θapaˈtero
sombrero	somˈbrero
gorro	ˈgorro
cinturón	
faja	ˈfaxa
guante	ˈgwan̩te
velo	ˈbelo
bolsillo	
botón	
alfiler	alfiˈler
adorno	aˈðorno
ornato	orˈnato
joya	ˈxoɟa
anillo	aˈniʎo
sortija	sorˈtixa
brazalete	braθaˈlete
pulsera	pulˈsera
collar	koˈʎar
chaquira	
abalorio	aβaˈlorjo
arete	aˈrete
aro	ˈaro
pendiente	pen̩ˈdjen̩te
cinta	ˈθin̩ta
tocado	toˈkaðo
tatuaje	tatuˈaxe
paɲuelo	
trapo	ˈtrapo
toalla	toˈaʎa
peine	ˈpei̯ne
cepillo	θeˈpiʎo
trenzar	treṇˈθar
navaja de afeitar	
ungüento	
jabón	
espejo	esˈpexo
habitar	aβiˈtar
morar	moˈrar
casa	ˈkasa
cabaɲa	
choza	ˈʧoθa
casa de huerta	
granja	ˈgraŋxa
toldo	ˈtol̩do
cancha	ˈkanʧa
patio	ˈpatjo
casa de hombres	
cocina	koˈθina
casa de reunión	
cuarto	ˈkwarto
pieza	ˈpjeθa
puerta	ˈpwerta
jamba de puerta	
larguero	larˈɣero
cerradura	θerraˈðura
candado	kan̩ˈdaðo
